%eval_id interface    DAKOTA_RC_1    DAKOTA_RC_2    DAKOTA_RC_3    DAKOTA_RC_4    DAKOTA_RC_5    DAKOTA_RC_6    DAKOTA_RC_7    DAKOTA_RC_8    DAKOTA_RC_9    DAKOTA_EP_1       obj_fn_1       obj_fn_2       obj_fn_3 
31           NO_ID    2.042635898    1.785658409    1.175437867    2.148459051    1.798086913    1.984590143    1.921897168    2.351653594    2.270176426    3.694914492  0.01663452706   0.3088717446   0.3177737568 
32           NO_ID    2.043473013    1.747548218    1.407126042    1.815383096    2.022018774    1.854609211     1.88059713    2.365352018    2.265411308     2.63894356            100            100            100 
33           NO_ID    2.046617142    1.670001184   0.9399799899     1.67282466    1.701936973    2.148391963    1.887967142     2.10645526    2.285629871    4.989678212  0.05255942162 0.0008041468312 0.003872877678 
34           NO_ID    2.047955258    1.744112236    1.430949874    2.155470325    2.185245116    2.006284801    1.856316562    2.091099939    2.290121836    10.06982125  0.01186126815 0.001263409692 0.002846593323 
35           NO_ID    2.048932721    1.853197009    1.174228592    1.924037208     2.11786558    1.954755602    1.991626821    2.390303145    2.207935408     2.89386774  0.01697275684 0.0007702673193 0.003375291798 
36           NO_ID    2.051841314    1.857070411   0.9637106892    1.682974449    2.048572139    1.926947868    1.917438729    2.109263073    2.279007136    2.865653829  0.01619370014 0.0002527384856 0.004718616317 
37           NO_ID    2.052544759    1.789848332    1.104593516    1.698586243     2.09807455    2.196202424    1.927124124    2.285345397    2.044367612    5.852836392  0.01917640661   0.1834916671   0.1751427397 
38           NO_ID    2.054747107    1.889488845    1.565266023    1.984119549    2.058222924    2.087171669     1.80221525    2.289836182    2.146212485     4.00161751   0.0177475309 0.001050820178 0.003164739466 
39           NO_ID    2.060325044    1.667482059    1.336845717     1.79345449    2.117039492    1.930833267    1.869470198    2.089968186    2.207440281    4.649592029  0.01570948671   0.2442112849   0.2446351104 
40           NO_ID      2.0610985    1.710285636    1.045564623    2.073265069    1.709785919    2.153251115    1.859925958    2.333715709     2.31099781    5.914246791  0.01304434204  0.02818603371  0.03883647435 
41           NO_ID    2.061480224    1.600613008    1.539154666    1.958714303    1.807250126    1.861548919    1.897222091    2.381865284    2.116504224    10.30801594            100            100            100 
42           NO_ID    2.065464519    1.657334825     1.12077246    2.001755637      1.8485025    2.158760695    1.901133803    2.058591984    2.000929496      2.6505514   0.1613453639  0.00106115423 0.003177646112 
43           NO_ID    2.066458912    1.786366739    1.078408365    1.644371576    1.619522861    1.840953802    1.811560716    2.152258207    2.169116031    2.924802109            100            100            100 
44           NO_ID    2.066676523    1.701184543    1.436571015     2.09125959    1.739718861    1.827237144    1.970010487    2.147800601    2.062450638   0.5922878369            100            100            100 
45           NO_ID     2.06685423    1.627415879    1.108140731    2.009509101    1.907650334    1.847210803    1.911504889    2.180661261    2.371307266    1.998394423 0.008279802007 0.0008062153266 0.003439741757 
46           NO_ID    2.067340504    1.778721712    1.464423379    2.111969197    1.706787856    2.115359018    1.805966871    2.291790253    2.034871499    10.41582956   0.0145465092  0.03745077844  0.04817669024 
47           NO_ID    2.070260277    1.646388934   0.8287596118     1.70932497    2.001920183    2.165929372    1.871451891     2.06053631    2.152705776    2.619677476  0.01488394332  0.00636657908 0.007114237046 
48           NO_ID    2.070592209    1.986218253   0.9734830239    1.634945517    1.614734574    1.977814273    1.926753616    2.310825037    2.102039011    11.28134286  0.01807619367 0.000624495264 0.003627886274 
49           NO_ID    2.075464458    1.656244389    1.170713096     1.97693264    2.076234719    2.150208537    1.829877954    2.309164995    2.120806651   0.1780822501   0.0128767235 0.0009250379618 0.003314108534 
50           NO_ID     2.07669497    1.612246664    1.128802951     1.61335999    2.130339193     2.03559338    1.962132839    2.365493204    2.127383632     10.7741153  0.01812135499   0.2272975832   0.2279699237 
51           NO_ID    2.077484813     1.76122339   0.8128314886    1.923045263    1.974359187    1.942172572    1.887565817    2.029084745    2.141774257    11.22716307  0.01356377281   0.2214413356   0.2210701036 
52           NO_ID    2.078119242    1.797135762    1.260093666    2.112764912    1.781488724    1.919484151    1.805333764    2.092060006    2.231931246    7.804591324            100            100            100 
53           NO_ID    2.080594604    1.671000854    1.181239686     1.94960461    1.996174396    2.093104411    1.850881413    2.256401992    2.236337894    4.806843155  0.01213123517 0.0009302513286 0.003318316805 
